TotalGames,Wins,Losses,Grass wins,Grass losses,Clay wins,Clay losses,Hard wins,Hard losses,Indoors wins,Indoors losses,Other wins,Other losses,Player
26,0.4230769230769231,0.5769230769230769,0.0,0.07692307692307693,0.0,0.38461538461538464,0.038461538461538464,0.07692307692307693,0.0,0,0.0,0.0,Pfizenmaier Dinah
27,0.5185185185185185,0.48148148148148145,0.07407407407407407,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0,0.0,0.0,Bedene Aljaz
41,0.5609756097560976,0.43902439024390244,0.07317073170731707,0.07317073170731707,0.12195121951219512,0.14634146341463414,0.24390243902439024,0.17073170731707318,0.0,0,0.0,0.0,Kuznetsov Alex
36,0.6111111111111112,0.3888888888888889,0.1111111111111111,0.08333333333333333,0.1388888888888889,0.1111111111111111,0.2222222222222222,0.1388888888888889,0.0,0,0.027777777777777776,0.027777777777777776,Giorgi Camila
21,0.6666666666666666,0.3333333333333333,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.0,0,0.0,0.0,Konjuh Ana
26,0.5,0.5,0.038461538461538464,0.07692307692307693,0.4230769230769231,0.2692307692307692,0.0,0.11538461538461539,0.0,0,0.038461538461538464,0.038461538461538464,Berlocq Carlos
39,0.5384615384615384,0.46153846153846156,0.02564102564102564,0.07692307692307693,0.23076923076923078,0.20512820512820512,0.23076923076923078,0.1282051282051282,0.0,0,0.02564102564102564,0.02564102564102564,Lajovic Dusan
40,0.625,0.375,0.1,0.075,0.2,0.175,0.3,0.125,0.0,0,0.025,0.0,Falla Alejandro
33,0.6060606060606061,0.3939393939393939,0.3333333333333333,0.09090909090909091,0.030303030303030304,0.06060606060606061,0.24242424242424243,0.21212121212121213,0.0,0,0.0,0.0,Vandeweghe Coco
30,0.5333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.2,0.13333333333333333,0.0,0,0.0,0.0,Evans Daniel
21,0.47619047619047616,0.5238095238095238,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.0,0,0.0,0.0,Tomic Bernard
44,0.6136363636363636,0.38636363636363635,0.20454545454545456,0.045454545454545456,0.1590909090909091,0.1590909090909091,0.20454545454545456,0.11363636363636363,0.0,0,0.0,0.022727272727272728,Zahlavova Strycova Barbora
28,0.5357142857142857,0.4642857142857143,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.39285714285714285,0.25,0.0,0,0.07142857142857142,0.07142857142857142,Vekic Donna
37,0.6756756756756757,0.32432432432432434,0.16216216216216217,0.05405405405405406,0.0,0.0,0.43243243243243246,0.21621621621621623,0.0,0,0.0,0.0,Wang Jimmy
54,0.7407407407407407,0.25925925925925924,0.24074074074074073,0.05555555555555555,0.14814814814814814,0.07407407407407407,0.05555555555555555,0.05555555555555555,0.0,0,0.05555555555555555,0.0,Kontaveit Anett
37,0.5675675675675675,0.43243243243243246,0.0,0.05405405405405406,0.21621621621621623,0.13513513513513514,0.10810810810810811,0.1891891891891892,0.0,0,0.08108108108108109,0.02702702702702703,Golubev Andrey
55,0.7636363636363637,0.23636363636363636,0.03636363636363636,0.07272727272727272,0.0,0.0,0.18181818181818182,0.07272727272727272,0.0,0,0.0,0.0,Smethurst Daniel
28,0.5,0.5,0.07142857142857142,0.07142857142857142,0.25,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.0,0,0.03571428571428571,0.0,Vesnina Elena
31,0.45161290322580644,0.5483870967741935,0.06451612903225806,0.0967741935483871,0.12903225806451613,0.0967741935483871,0.25806451612903225,0.22580645161290322,0.0,0,0.0,0.0967741935483871,Doi Misaki
44,0.5681818181818182,0.4318181818181818,0.13636363636363635,0.06818181818181818,0.20454545454545456,0.13636363636363635,0.1590909090909091,0.1590909090909091,0.0,0,0.022727272727272728,0.022727272727272728,Istomin Denis
25,0.68,0.32,0.08,0.04,0.16,0.12,0.44,0.16,0.0,0,0.0,0.0,Williams Venus
